,State,District,use right,c11_dist_name,c11_state_name,note
39,Chhattisgarh,Surajpur,,,,
40,Chhattisgarh,Gaurela Pendra Marwahi,,,,
41,Delhi,Shahdara,,,,
42,Delhi,South East Delhi,,,,
43,Dadra and Nagar Haveli and Daman and Diu,Other State,,,,
44,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,,Dadra?&?Nagar?Haveli,Dadra?&?Nagar?Haveli?UT,
45,Goa,Other State,,,,
46,Gujarat,Other State,,,,
47,Gujarat,Ahmedabad,,,,
48,Gujarat,Aravalli,,,,
49,Gujarat,Banaskantha,,Banas?Kantha,Gujarat,<
50,Gujarat,Botad,,,,
51,Gujarat,Chhota Udaipur,,,,
52,Gujarat,Dahod,,,,
53,Gujarat,Dang,,,,
54,Gujarat,Devbhumi Dwarka,,,,
55,Gujarat,Gir Somnath,,,,
56,Gujarat,Kutch,,Kachchh,Gujarat,
57,Gujarat,Mahisagar,,,,
58,Gujarat,Mehsana,,Mahesana,Gujarat,
59,Gujarat,Morbi,,,,
60,Gujarat,Panchmahal,,,,
61,Gujarat,Sabarkantha,,Sabar?Kantha,Gujarat,<
62,Himachal Pradesh,Bilaspur,,,,
63,Himachal Pradesh,Hamirpur,,,,
64,Himachal Pradesh,Lahaul and Spiti,,,,
65,Haryana,Foreign Evacuees,,,,
66,Haryana,Charkhi Dadri,,,,
67,Haryana,Gurugram,,,,
68,Haryana,Italians,,,,
69,Haryana,Nuh,,,,
70,Jharkhand,East Singhbhum,,,,
71,Jharkhand,Koderma,,,,
72,Jharkhand,Saraikela-Kharsawan,,,,
73,Jharkhand,West Singhbhum,,,,
74,Jammu and Kashmir,Bandipora,,,,
75,Jammu and Kashmir,Baramulla,,,,
76,Jammu and Kashmir,Budgam,,,,
77,Jammu and Kashmir,Mirpur,,,,
78,Jammu and Kashmir,Muzaffarabad,,,,
79,Jammu and Kashmir,Shopiyan,,,,
80,Karnataka,Bagalkote,,,,
81,Karnataka,Ballari,,,,
82,Karnataka,Belagavi,,,,
83,Karnataka,Bengaluru Rural,,,,
84,Karnataka,Bengaluru Urban,,,,
85,Karnataka,Chamarajanagara,,,,
86,Karnataka,Chikkamagaluru,,,,
87,Karnataka,Kalaburagi,,,,
88,Karnataka,Mysuru,,,,
89,Karnataka,Other State,,,,
90,Karnataka,Shivamogga,,,,
91,Karnataka,Tumakuru,,,,
92,Karnataka,Vijayapura,,,,
93,Kerala,Other State,,,,
94,Ladakh,Leh,,,,
95,Maharashtra,Ahmednagar,,,,
96,Maharashtra,Aurangabad,,,,
97,Maharashtra,Beed,,,,
98,Maharashtra,Buldhana,,,,
99,Maharashtra,Gondia,,,,
100,Maharashtra,Other State,,,,
101,Maharashtra,Palghar,,,,
102,Maharashtra,Raigad,,,,
103,Meghalaya,East Jaintia Hills,,,,
104,Meghalaya,North Garo Hills,,,,
105,Meghalaya,South West Garo Hills,,,,
106,Meghalaya,South West Khasi Hills,,,,
107,Meghalaya,West Jaintia Hills,,,,
108,Manipur,CAPF Personnel,,,,
109,Manipur,Jiribam,,,,
110,Manipur,Kakching,,,,
111,Manipur,Kamjong,,,,
112,Manipur,Kangpokpi,,,,
113,Manipur,Noney,,,,
114,Manipur,Pherzawl,,,,
115,Manipur,Tengnoupal,,,,
116,Madhya Pradesh,Agar Malwa,,,,
117,Madhya Pradesh,Khandwa,,,,
118,Madhya Pradesh,Khargone,,,,
119,Madhya Pradesh,Narsinghpur,,,,
120,Madhya Pradesh,Niwari,,,,
121,Madhya Pradesh,Other Region,,,,
122,Mizoram,Hnahthial,,,,
123,Mizoram,Khawzawl,,,,
124,Mizoram,Saitual,,,,
125,Nagaland,Others,,,,
126,Odisha,State Pool,,,,
127,Odisha,Others,,,,
128,Odisha,Angul,,,,
129,Odisha,Balasore,,,,
130,Odisha,Boudh,,,,
131,Odisha,Deogarh,,,,
132,Odisha,Jagatsinghpur,,,,
