state,2019proj_pop_total,2019proj_pop_male,2019proj_pop_female,2020proj_pop_total,2020proj_pop_male,2020proj_pop_female,2021proj_pop_total,2021proj_pop_male,2021proj_pop_female,2017perc_above60_total,2017perc_above60_male,2017perc_above60_female,2017perc_above60_rural,2017perc_above60_rural_male,2017perc_above60_rural_female,2017perc_above60_urban,2017perc_above60_urban_male,2017perc_above60_urban_female,2016_2020proj_birth_rate,2016_2020proj_death_rate,2017death_rate_total,2017death_rate_male,2017death_rate_female,2017death_rate_rural,2017death_rate_rural_male,2017death_rate_rural_female,2017death_rate_urban,2017death_rate_urban_male,2017death_rate_urban_female,2016_2020expectation_life_male,2016_2020expectation_life_female,2017infant_mortality_rate_total,2017infant_mortality_rate_male,2017infant_mortality_rate_female,2017infant_mortality_rate_rural,2017infant_mortality_rate_rural_male,2017infant_mortality_rate_rural_female,2017infant_mortality_rate_urban,2017infant_mortality_rate_urban_male,2017infant_mortality_rate_urban_female,2011literacy_rate_total,2011literacy_rate_rural,2011literacy_rate_urban,2011literacy_rate_male,2011literacy_rate_male_rural,2011literacy_rate_male_urban,2011literacy_rate_female,2011literacy_rate_female_rural,2011literacy_rate_female_urban,2011_2012poverty_perc_rural,2011_2012poverty_no_rural,2011_2012poverty_perc_urban,2011_2012poverty_no_urban,2011_2012poverty_perc_total,2011_2012poverty_no_total,2015_2016domestic_product,2018_Malaria_case,2018_Malaria_death,2018_Dengue_case,2018_Dengue_death,2018Typoid_male_case,2018Typoid_male_death,2018Typoid_female_case,2018Typoid_female_death,2018Typoid_total_case,2018Typoid_total_death,2018acute_resp_infect_male_case,2018acute_resp_infect_male_death,2018acute_resp_infect_female_case,2018acute_resp_infect_female_death,2018acute_resp_infect_total_case,2018acute_resp_infect_total_death,2018Pneumonia_male_case,2018Pneumonia_male_death,2018Pneumonia_female_case,2018Pneumonia_female_death,2018Pneumonia_total_case,2018Pneumonia_total_death,2018NCD_attended,2018Diabetes,2018Hypertension,2018HTNandDM,2018CVDs,2018Stroke,2018CommonCancers,2015-2016Mothers_antenatal_checkup_first_trimester,2015-2016Mothers_4antenatal_care_visits,2015-2016Mothers_whose_last_birth_protected_neonatal_tetanus7,2015-2016Mothers_consumed_iron_folic_acid,2016-2016Mothers_full_antenatal_care8,2015-2016Mothers_postnatal_care,2015-2016Children_12-23m_fully_immunized,2015-2016Children_12-23m_BCGvaccine,2015-2016Children_12-23m_poliovaccine,2015-2016Children_12-23m_DPTvaccine,2015-2016Children_12-23m_measlesvaccine,2015-2016Children_12-23m_HepatitisBvaccine,2015-2016Children_9-59m_vitaminA,2015-2016public_expenditure_medical_PH_UHS,2015-2016public_expenditure_medical_PH_RHS,2015-2016public_expenditure_medical_PH_MERT,2015-2016public_expenditure_medical_PH_PH,2015-2016public_expenditure_medical_PH_Misc,2015-2016public_expenditure_medical_PH_Total,2015-2016public_expenditure_FamilyWelfare_UFWS,2015-2016public_expenditure_FamilyWelfare_RFWS,2015-2016public_expenditure_FamilyWelfare_MCH,2015-2016public_expenditure_FamilyWelfare_Misc,2015-2016public_expenditure_FamilyWelfare_Total,2015-2016public_expenditure_other,2015-2016public_expenditure_total,2015-2016expenditure_health,2015-2016expenditure,2015-2016health_over_total,2015-2016pop,2015-2016GSDPcurrentprices,2015-2016expenditure_health_percap,2015-2016expenditure_health_perGSDP
Jharkhand,34887,17920,16967,35278,18114,17165,35652,18297,17355,6.6,6.3,6.9,6.3,6,6.7,7.3,7.1,7.5,NA,NA,5.5,5,6.1,5.8,5.2,6.6,4.6,4.5,4.7,NA,NA,29,25,33,30,27,34,24,19,31,66.4,61.1,82.3,76.8,72.9,88.4,55.4,48.9,75.5,40.8,104.1,24.8,20.2,37,124.3,59628,53798,4,463,1,19478,0,16794,0,36272,0,143865,9,117562,1,261427,10,1540,2,1219,2,2759,4,421063,31093,32491,6543,2747,997,149,52,30.3,91.8,15.3,8,44.4,61.9,95.8,73.8,82.4,82.6,56.4,52.9,1466,329,202,101,0,2098,1,60,3,12,75,9,2182,2891,59995,4.82,3.34,231294,866,1.25
Karnataka,63936,32387,31550,64410,32619,31791,64848,32832,32016,8.2,7.7,8.7,8.7,8,9.4,7.4,7.3,7.6,14.9,7.3,6.5,7.1,6,7.6,8.2,7,4.9,5.3,4.5,69,73.5,25,24,26,27,26,28,22,20,24,75.4,68.7,85.8,82.5,77.6,90,68.1,59.7,81.4,24.5,92.8,15.3,37,20.9,129.8,142906,5320,0,4427,4,66809,0,60341,0,127150,0,1226672,67,1196606,42,2423278,109,11539,88,9372,54,20911,142,2375504,112220,105030,38539,8212,4989,20084,66,70.3,88.3,45.3,32.9,65.6,62.6,92.5,74.6,77.9,82.4,58.9,78.7,1433,1204,1160,455,941,5193,14,0,64,559,637,186,6015,6980,138715,5.03,6.21,1012804,1124,0.69
Kerala,36241,17740,18501,36410,17831,18579,36569,17917,18652,13,12.3,13.7,13.4,12.5,13.9,12.8,12,13.5,13.1,7.4,6.8,7.7,6,7.2,8.2,6.3,6.5,7.3,5.7,74.2,78.1,10,9,10,9,9,10,10,10,11,94,93,95.1,96.1,95.4,97,92.1,90.8,93.4,9.1,15.5,5,8.5,7.1,23.9,147190,908,0,4083,32,1182,0,1052,0,2234,0,2859654,27,2998166,8,5857820,35,3323,24,3084,20,6407,44,4758159,58174,107995,31140,20120,1061,10404,95.1,90.2,96.5,67.1,61.2,88.7,82.1,98.1,88.5,90.4,89.4,82.4,74.4,1700,706,980,728,221,4336,0,372,0,64,436,0,4772,5207,88960,5.85,3.56,557947,1463,0.93
Madhya Pradesh,81101,42361,38740,82134,42905,39229,83135,43432,39703,7.2,6.9,7.5,7.1,6.8,7.5,7.3,7,7.6,20.7,7.5,6.8,7.5,6.1,7.3,8,6.5,5.5,5.9,5.1,66.5,67.3,47,48,45,51,52,49,32,34,29,69.3,63.9,82.8,78.7,74.7,88.7,59.2,52.4,76.5,35.7,191,21,43.1,31.6,234.1,62334,21311,1,4506,5,39991,1,32814,2,72805,3,610959,61,554542,26,1165501,87,31077,64,22902,40,53979,104,334878,28283,35773,29609,4045,1739,1146,53.1,35.7,89.8,23.6,11.4,55,53.6,91.6,63.6,73.4,79.6,56.3,60.4,3440,871,289,398,74,5073,17,0,0,364,381,69,5523,5535,132647,4.17,7.73,530443,716,1.04
Maharashtra,124326,65149,59177,125711,65899,59813,127082,66639,60442,9.1,8.7,9.5,10.1,9.4,10.8,7.8,7.8,7.8,15.5,7,5.7,5.9,5.4,6.6,6.6,6.5,4.6,5.1,4,69.9,73.7,19,18,19,23,21,24,14,14,13,82.3,77,88.7,88.4,85.1,92.1,75.9,68.5,84.9,24.2,150.6,9.1,47.4,17.4,197.9,147399,10726,13,11011,55,58786,4,55773,5,114559,9,957904,6,778676,4,1736580,10,5513,15,4829,12,10342,27,5883915,155628,250875,97651,16880,4015,14103,67.6,72.2,90.4,40.6,32.4,78.5,56.3,90,67,74.9,82.8,60.8,70.5,3418,558,813,4567,7,9363,17,472,65,92,645,44,10052,12066,237327,5.08,11.94,2001223,1011,0.6
Manipur,2673,1344,1328,2698,1357,1342,2723,1368,1354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,5.9,4.7,5.3,6,4.5,5.3,5.7,4.9,NA,NA,12,11,13,NA,NA,NA,NA,NA,NA,76.9,73.4,85.4,83.6,80.3,91.7,70.3,66.3,79.3,38.8,7.4,32.6,2.8,36.9,10.2,55603,12,1,14,0,1781,0,1702,0,3483,0,26818,18,27290,10,54108,28,608,0,478,0,1086,0,36821,3712,3280,939,242,97,413,77,69,88.8,39.2,33.9,64.6,65.9,91.2,76.6,77.8,74.2,69.9,32.1,NA,NA,NA,NA,NA,469,NA,NA,NA,NA,16,NA,486,536,9841,5.45,0.26,19233,2061,2.79
Meghalaya,2860,1443,1417,2887,1456,1431,2914,1469,1445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,6.9,5.2,6.3,7.3,5.4,4.8,5.2,4.4,NA,NA,39,42,36,NA,NA,NA,NA,NA,NA,74.4,69.9,90.8,76,71.5,92.5,72.9,68.4,89.1,12.5,3,9.3,0.6,11.9,3.6,70693,6394,6,44,0,3335,0,4131,0,7466,0,152917,6,199526,0,352443,6,1914,23,1874,16,3788,39,28521,1557,2560,988,175,43,852,53.3,50,79.3,36.2,23.5,47.5,61.5,86,71,74,71.9,62.9,54.4,234,137,4,32,155,561,0,27,8,8,44,39,644,623,9253,6.73,0.28,25967,2223,2.4
Mizoram,1096,563,533,1106,568,538,1116,573,543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.5,3.6,4,3.9,4,4.1,5,3.3,NA,NA,15,12,18,NA,NA,NA,NA,NA,NA,91.3,84.1,97.6,93.3,88.2,98,89.3,79.8,97.3,35.4,1.9,6.4,0.4,20.4,2.3,114524,4296,0,68,0,1526,0,1861,0,3387,0,17105,32,18726,13,35831,45,1392,23,1182,9,2574,32,105758,7168,8322,1167,225,33,108,65.7,61.7,82.7,53.8,38.5,64.7,50.5,75.3,61.7,61.7,61.1,56.8,68.6,106,98,3,134,6,347,1,26,0,5,32,72,451,645,7731,8.34,0.11,15339,5862,4.2
Nagaland,2454,1285,1169,2477,1297,1181,2500,1308,1192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,3.7,3.5,4.2,4.6,3.8,2.7,2.3,3.1,NA,NA,7,2,13,NA,NA,NA,NA,NA,NA,79.6,75.3,89.6,82.8,79,91.6,76.1,71.5,87.4,19.9,2.8,16.5,1,18.9,3.8,83621,115,0,369,0,4579,0,4510,0,9089,0,17615,3,18417,3,36032,6,763,0,685,1,1448,1,24359,1449,3765,695,633,250,235,24.9,15,63.9,4.4,2.4,22.3,35.7,68.4,52.5,52,50.4,45.8,27.1,202,107,5,127,0,441,0,0,0,24,24,0,465,588,10156,5.79,0.24,19816,2450,2.97
Odisha,43450,21903,21547,43762,22052,21710,44068,22198,21870,9.9,10.1,9.8,10.1,10.4,9.9,8.5,8.7,8.3,16.2,8.2,7.4,8.1,6.8,7.7,8.4,7,6,6.3,5.7,66.3,69.6,41,40,41,42,42,42,32,32,33,72.9,70.2,85.7,81.6,79.6,90.7,64,60.7,80.4,35.7,126.1,17.3,12.4,32.6,138.5,68293,66301,4,5198,5,30378,3,22387,4,52765,7,987507,37,805309,21,1792816,58,10251,171,7683,108,17934,279,552450,92783,118978,33938,5487,2050,1457,64.1,62,94.5,36.5,23.1,73.3,78.6,94.1,82.8,89.2,87.9,83.2,69.1,1388,1489,358,268,10,3515,8,89,0,69,166,63,3744,3921,81741,4.8,4.23,330874,927,1.19
Punjab,29868,16162,13706,30101,16300,13801,30323,16432,13891,10.2,9.7,10.7,11,10.4,11.7,9,8.7,9.4,14,7.2,7,7.7,6.2,7.7,8.5,6.9,6,6.7,5.2,70.7,73.8,21,20,22,22,22,23,19,18,20,75.8,71.4,83.2,80.4,76.6,86.7,70.7,65.7,79.2,7.7,13.4,9.2,9.8,8.3,23.2,119261,643,0,14980,9,27906,1,27333,1,55239,2,280089,19,284400,5,564489,24,4988,15,4104,7,9092,22,871579,116181,150685,59557,6555,711,987,75.6,68.5,92.9,42.6,30.7,87.2,89.1,98.2,93.7,94.5,93.1,91,70.6,1217,514,263,195,222,2410,11,113,0,73,197,194,2801,3400,57963,5.87,2.9,391543,1173,0.87
Rajasthan,75828,39602,36227,76759,40089,36670,77676,40568,37107,7.3,6.5,8.2,7.3,6.4,8.3,7.5,6.9,8,19.7,6.5,6,6.6,5.3,6.3,7.1,5.4,5.1,5.2,5.1,68.6,71.9,38,37,40,42,40,43,28,26,30,66.1,61.4,79.7,79.2,76.2,87.9,52.1,45.8,70.7,16.1,84.2,10.7,18.7,14.7,102.9,82325,3502,0,9587,10,48444,0,39307,0,87751,0,2680102,12,2077647,13,4757749,25,88007,59,63367,39,151374,98,8954630,378428,691651,119855,21167,3259,3414,63,38.5,89.7,17.3,9.7,63.7,54.8,88.8,65.4,71.6,78.1,53.1,39.6,1829,1892,746,849,0,5315,20,0,0,2422,2443,61,7818,9858,175589,5.61,7.25,683758,1360,1.44
Sikkim,667,354,313,673,357,316,679,360,319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,5.3,3.7,5.3,6.3,4.1,3.4,3.7,3.1,NA,NA,12,10,13,NA,NA,NA,NA,NA,NA,81.4,78.9,88.7,86.6,84.6,92.4,75.6,72.4,84.7,9.9,0.4,3.7,0.1,8.2,0.5,233954,3,0,320,0,55,0,103,0,158,0,46952,6,49306,12,96258,18,160,0,127,0,287,0,76041,915,2586,385,49,13,2,76.2,74.7,97.2,52.8,39,74.2,83,98.9,87.7,93,93.3,84.1,84.3,174,36,1,32,0,243,1,10,0,7,18,1,262,308,5431,5.66,0.06,16954,5126,1.81
Tamil Nadu,70344,35240,35104,70617,35367,35250,65,35482,35383,10.7,10.6,10.9,10.7,10.3,11,10.8,10.8,10.7,13.4,8.5,6.7,7.5,5.8,7.6,8.3,6.7,5.9,6.7,5,69.6,73,16,17,16,19,20,18,14,14,15,80.1,73.5,87,86.8,82,91.8,73.4,65,82.3,15.8,59.2,6.5,23.4,11.3,82.6,137837,3762,0,4486,13,23246,1,21070,0,44316,1,1034667,36,1007699,29,2042366,65,6321,489,5541,268,11862,757,23997842,375315,721197,115235,13787,10201,2860,64,81.2,71,64,45,74.1,69.7,94.9,82.3,84.5,85.1,68.2,68.3,2708,923,863,489,1250,6234,75,347,1179,510,2111,180,8525,8543,171349,4.99,6.92,1161963,1235,0.74
Telangana,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,8.3,8.2,9.7,9.7,9.7,6,6.2,5.8,NA,NA,6.6,7.2,6,8,8.9,7.1,4.5,4.6,4.3,NA,NA,29,28,29,33,33,32,23,21,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6,8.2,10.5,3.4,11.3,11.6,137955,1787,0,4592,2,25813,0,25332,0,51145,0,360895,0,379114,0,740009,0,3343,2,3222,0,6565,2,2850666,122456,143118,NA,NA,NA,13130,83.1,75,89.1,52.8,42.2,81.8,68.1,97.4,75.4,87.9,90.6,70.6,76.3,2066,495,242,261,120,3184,0,85,45,445,575,189,3948,4626,96297,4.8,3.5,567588,1322,0.82
Tripura,3946,2015,1931,3983,2033,1950,4019,2051,1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,6,4.3,5.2,6.2,4.1,5.2,5.5,4.9,NA,NA,29,30,27,NA,NA,NA,NA,NA,NA,87.2,84.9,93.5,91.5,90.1,95.5,82.7,79.5,91.4,16.5,4.5,7.4,0.8,14,5.2,NA,13079,13,100,0,1845,2,1819,0,3664,2,116230,10,119695,8,235925,18,721,10,596,7,1317,17,122747,5460,28198,3934,124,482,52,66.4,64.3,93,13.4,7.6,62.1,54.5,82.4,70.1,71.1,69.7,54.4,62.8,266,102,29,45,3,446,0,0,35,129,165,0,610,829,12537,6.62,0.38,34368,2183,2.41
Uttarakhand,11010,5629,5381,11029,5691,5437,11241,5750,5491,8.6,8,9.3,9.2,8.4,10,7.2,7,7.5,NA,NA,6.7,7.8,5.5,7.1,8.4,5.7,5.6,6.2,5,NA,NA,32,35,29,33,38,28,30,29,32,78.8,76.3,84.5,87.4,86.6,89.1,70,66.2,79.3,NA,NA,NA,NA,NA,NA,146826,409,0,689,3,17602,2,16083,2,33685,4,94578,56,96127,30,190705,86,6406,0,5959,0,12365,0,105802,17046,20796,6367,460,244,123,53.5,30.9,91.4,24.9,11.5,54.8,57.7,92.9,68,80,80.6,59.4,36.9,442,632,115,167,0,1357,4,93,0,11,108,32,1496,1871,30799,6.07,1.06,175772,1765,1.06
