"","state_name","state_code","dist_code","Area","Age","Total","TotalMales","TotalFemales","RuralPersons","RuralMales","RuralFemales","UrbanPersons","UrbanMales","UrbanFemales","% Male","% Rural","Area(km2)","pop/km2","Total_SC","% SC","Total_ST","% ST","Hindu","Muslim","Christian","Sikh","Buddhist","Jain","religion_Others","religion_Notstated","age_0-4","age_5-9","age_10-14","age_15-19","age_20-24","age_25-29","age_30-34","age_35-39","age_40-44","age_45-49","age_50-54","age_55-59","age_60-64","age_65-69","age_70-74","age_75-79","age_80-84","age_85+","age_Notstated","age_0-60","age_>60","age_>60_RuralFemales","age_>60_RuralMales","age_>60_RuralPersons","age_>60_TotalFemales","age_>60_TotalMales","age_>60_UrbanFemales","age_>60_UrbanMales","age_>60_UrbanPersons","age_0-60_RuralFemales","age_0-60_RuralMales","age_0-60_RuralPersons","age_0-60_TotalFemales","age_0-60_TotalMales","age_0-60_UrbanFemales","age_0-60_UrbanMales","age_0-60_UrbanPersons"
"11","Haryana","06","000","State - HARYANA (06)","All ages",25351462,13494734,11856728,16509359,8774006,7735353,8842103,4720728,4121375,53.23,65.12,44212,573.406812630055,5113615,20.17,NA,NA,22171128,1781342,50353,1243752,7514,52613,2548,42212,2362519,2498757,2668678,2677390,2567486,2231959,1893591,1761863,1505950,1241814,965228,750938,844349,504439,374161,196217,152395,122194,31534,23470557,1849371,638546,634312,1272858,921773,927598,283227,293286,576513,7087237,8128683,15215920,10920309,12550248,3833072,4421565,8254637
"12","Himachal Pradesh","02","000","State - HIMACHAL PRADESH (02)","All ages",6864602,3481873,3382729,6176050,3110345,3065705,688552,371528,317024,50.72,89.97,55673,123.302175201624,1729252,25.19,392126,5.71,6532765,149881,12646,79896,78659,1805,856,8094,544984,591177,639224,640461,643866,589160,546357,517966,445560,395128,330687,266860,231372,158607,130587,75706,58083,48654,10163,6236730,617709,290399,279508,569907,313667,304042,23268,24534,47802,2770819,2825938,5596757,3064252,3172478,293433,346540,639973
"13","Jammu and Kashmir","01","000","State - JAMMU & KASHMIR (01)","All ages",12541302,6640662,5900640,9108060,4774477,4333583,3433242,1866185,1567057,52.95,72.62,125535,99.9028318795555,924991,7.38,1493299,11.91,3566674,8567485,35631,234848,112584,2490,1508,20082,1414884,1411973,1413853,1237462,1160913,1086122,926903,837945,714085,590790,468566,340031,322726,203965,184019,85076,72216,54654,15119,11771499,754684,251302,278407,529709,360030,394654,108728,116247,224975,4078297,4489211,8567508,5535238,6236261,1456941,1747050,3203991
"14","Jharkhand","20","000","State - JHARKHAND (20)","All ages",32988134,16930315,16057819,25055073,12776486,12278587,7933061,4153829,3779232,51.32,75.95,79714,413.831121258499,3985644,12.08,8645042,26.21,22376051,4793994,1418608,71422,8956,14974,4235786,68343,3648297,4138425,4104396,3205268,2827622,2652639,2307296,2136764,1788506,1534094,1186181,985234,957482,635397,407108,167954,106376,82361,116734,30998787,1872613,730256,716803,1447059,926603,946010,196347,229207,425554,11521492,12029558,23551050,15076734,15922053,3555242,3892495,7447737
"15","Karnataka","29","000","State - KARNATAKA (29)","All ages",61095297,30966657,30128640,37469335,18929354,18539981,23625962,12037303,11588659,50.69,61.33,191791,318.551428377765,10474992,17.15,4248987,6.95,51317472,7893065,1142647,28773,95710,440280,11263,166087,5046719,5241509,5736646,5827277,6052558,5771606,4698380,4695451,3826712,3519782,2699270,2142504,2060052,1520119,1061125,524426,362024,263286,45851,56331006,4718440,1646513,1482341,3128854,2459677,2258763,813164,776422,1589586,16881592,17433060,34314652,27648522,28682484,10766930,11249424,22016354
"16","Kerala","32","000","State - KERALA (32)","All ages",33406061,16027412,17378649,17471135,8408054,9063081,15934926,7619358,8315568,47.98,52.3,38863,859.585235313795,3039573,9.1,484839,1.45,18282492,8873472,6141269,3814,4752,4489,7618,88155,2453092,2555112,2822770,2610552,2665809,2604092,2455501,2579673,2412498,2348530,1928145,1742408,1414671,1002134,733372,501367,302443,239406,34486,29622108,3749467,1079694,880378,1960072,2070213,1679254,990519,798876,1789395,7974729,7518997,15493726,15291247,14330861,7316518,6811864,14128382
"17","Lakshadweep","31","000","State - LAKSHADWEEP (31)","All ages",64473,33123,31350,14141,7243,6898,50332,25880,24452,51.37,21.93,32.62,1976.48681790313,NA,NA,61120,94.8,1788,62268,317,8,10,11,7,64,5052,5407,5998,5624,5829,5967,5437,5389,4608,3810,3066,2901,2034,1413,849,493,246,235,115,59665,4693,453,530,983,2276,2417,1823,1887,3710,6438,6693,13131,29033,30632,22595,23939,46534
"18","Madhya Pradesh","23","000","State - MADHYA PRADESH (23)","All ages",72626809,37612306,35014503,52557404,27149388,25408016,20069405,10462918,9606487,51.79,72.37,308245,235.613907768171,11342320,15.62,15316784,21.09,66007121,4774695,213282,151412,216052,567028,599594,97625,7471286,8266455,8564501,7446789,6727579,5787506,5214960,4861671,4214474,3522961,2694372,2058077,1987410,1427061,1107421,523355,369166,298903,82862,67786239,4757708,1824005,1654227,3478232,2474366,2283342,650361,629115,1279476,23561576,25470286,49031862,32500651,35285588,8939075,9815302,18754377
"19","Maharashtra","27","000","State - MAHARASHTRA (27)","All ages",112374333,58243056,54131277,61556074,31539034,30017040,50818259,26704022,24114237,51.83,54.78,307713,365.192023086447,13275898,11.81,10510213,9.35,89703057,12971152,1080073,223247,6531200,1400349,178965,286290,9362026,9820654,10734535,10627267,11090966,10147113,8796307,8247160,7196089,6032454,4919317,3885814,3642480,3078352,2143136,1062773,636651,543543,407696,102442771,9523866,3144382,2809775,5954157,4961590,4562276,1817208,1752501,3569709,26775452,28620536,55395988,48981303,53461468,22205851,24840932,47046783
"20","Manipur","14","000","State - MANIPUR (14)","All ages",2855794,1438586,1417208,2021640,1026884,994756,834154,411702,422452,50.37,70.79,22327,127.907645451695,97328,3.41,1167422,40.88,1181876,239836,1179043,1527,7084,1692,233767,10969,256682,291243,313763,287008,281782,270477,220954,198453,170829,147030,120277,89499,71897,46648,34253,21428,14533,11261,7777,2676444,171573,54826,57102,111928,85835,85738,31009,28636,59645,937421,966639,1904060,1327828,1348616,390407,381977,772384
